x,y,det_0,det_1,det_2,det_3,det_4,det_5,RD_1_4,RD_2_5,RD_0_3
-43.8776,-19.3878,2e-05,5e-06,1.5e-05,7e-05,3.75e-05,7.5e-06,-1.52941176463391,0.6666666666074074,-1.1111111110864198
-43.8776,-17.3469,3.25e-05,1e-05,1.75e-05,4e-05,7e-05,0.0,-1.4999999999625,1.9999999997714284,-0.2068965517184306
-43.8776,-15.3061,1.5e-05,1.5e-05,1.75e-05,4.75e-05,6.75e-05,7.5e-06,-1.2727272726964187,0.799999999936,-1.03999999996672
-43.8776,-13.2653,7.5e-06,1e-05,2.5e-05,9.5e-05,6e-05,5e-06,-1.4285714285306121,1.3333333332444446,-1.707317073137418
-43.8776,-11.2245,2.5e-05,5e-06,2.25e-05,5.5e-05,6.25e-05,7.5e-06,-1.7037037036532237,0.9999999999333334,-0.74999999998125
-43.8776,-9.18367,2.25e-05,1.75e-05,2.75e-05,0.0001125,2e-05,1e-05,-0.13333333332622238,0.9333333332835554,-1.3333333333135802
-43.8776,-7.14286,0.0,5e-06,4.75e-05,6.5e-05,3.25e-05,2e-05,-1.4666666665884445,0.8148148147906722,-1.9999999999384614
-43.8776,-5.10204,7.5e-06,2.5e-05,3.75e-05,8e-05,6.25e-05,1.5e-05,-0.8571428571232654,0.8571428571102041,-1.6571428571049793
-43.8776,-3.06122,1.75e-05,1.75e-05,2.5e-05,0.000105,4.25e-05,1.25e-05,-0.8333333333055557,0.6666666666311111,-1.4285714285481053
-43.8776,-1.02041,2.75e-05,2e-05,4.75e-05,9.5e-05,4.75e-05,7.5e-06,-0.8148148147906722,1.454545454492562,-1.1020408163085382
-43.8776,1.02041,1.25e-05,1.25e-05,4e-05,8.75e-05,3e-05,5e-06,-0.8235294117259514,1.5555555554864198,-1.4999999999699998
-43.8776,3.06122,7.5e-06,1e-05,7.25e-05,0.00011,3.75e-05,5e-06,-1.1578947367933519,1.7419354838260146,-1.744680851034133
-43.8776,5.10204,2e-05,3e-05,4.25e-05,0.000105,3.75e-05,1.75e-05,-0.22222222221563773,0.8333333333055557,-1.3599999999782402
-43.8776,7.14286,7.5e-06,2.5e-05,0.0001025,9.25e-05,1.75e-05,7.5e-06,0.3529411764539793,1.7272727272413222,-1.6999999999659998
-43.8776,9.18367,2e-05,2.75e-05,2.75e-05,0.0001,2.25e-05,2.5e-06,0.19999999999199997,1.6666666665555556,-1.3333333333111113
-43.8776,11.2245,2.5e-06,3e-05,6e-05,0.000105,3e-05,1.25e-05,0.0,1.3103448275500595,-1.9069767441505676
