x,y,roiCounts,normalizedCounts,flux,normalizedFlux,nPrimary
-37.7551,33.6735,519,0.00519,883,0.00883,600000
-37.7551,35.7143,563,0.00563,934,0.00934,600000
-37.7551,37.7551,583,0.00583,960,0.0096,600000
-37.7551,39.7959,503,0.00503,905,0.00905,600000
-37.7551,41.8367,517,0.00517,864,0.00864,600000
-37.7551,43.8776,516,0.00516,879,0.00879,600000
-37.7551,45.9184,537,0.00537,905,0.009049999999999999,600000
-37.7551,47.9592,509,0.00509,810,0.0081,600000
-37.7551,50.0,537,0.00537,931,0.00931,600000
-35.7143,-50.0,523,0.00523,893,0.00893,600000
-35.7143,-47.9592,502,0.00502,833,0.00833,600000
-35.7143,-45.9184,530,0.0053,828,0.008280000000000001,600000
-35.7143,-43.8776,574,0.00574,883,0.00883,600000
-35.7143,-41.8367,498,0.00498,864,0.00864,600000
-35.7143,-39.7959,612,0.0061200000000000004,887,0.00887,600000
-35.7143,-37.7551,586,0.00586,962,0.00962,600000
-35.7143,-35.7143,576,0.00576,891,0.00891,600000
-35.7143,-33.6735,450,0.0045000000000000005,810,0.0081,600000
-35.7143,-31.6327,521,0.005209999999999999,868,0.00868,600000
-35.7143,-29.5918,563,0.0056300000000000005,889,0.00889,600000
-35.7143,-27.551,571,0.00571,928,0.00928,600000
-35.7143,-25.5102,526,0.00526,857,0.00857,600000
-35.7143,-23.4694,510,0.0051,862,0.00862,600000
-35.7143,-21.4286,557,0.00557,831,0.00831,600000
-35.7143,-19.3878,551,0.00551,903,0.00903,600000
-35.7143,-17.3469,473,0.00473,866,0.00866,600000
-35.7143,-15.3061,514,0.0051400000000000005,879,0.00879,600000
-35.7143,-13.2653,505,0.00505,860,0.0086,600000
-35.7143,-11.2245,583,0.00583,940,0.0094,600000
-35.7143,-9.18367,531,0.0053100000000000005,903,0.00903,600000
-35.7143,-7.14286,540,0.0054,901,0.00901,600000
-35.7143,-5.10204,522,0.00522,821,0.00821,600000
-35.7143,-3.06122,553,0.00553,886,0.00886,600000
-35.7143,-1.02041,618,0.00618,869,0.00869,600000
-35.7143,1.02041,572,0.00572,949,0.00949,600000
-35.7143,3.06122,609,0.00609,929,0.00929,600000
-35.7143,5.10204,463,0.00463,821,0.00821,600000
-35.7143,7.14286,578,0.00578,893,0.00893,600000
-35.7143,9.18367,515,0.00515,874,0.00874,600000
-35.7143,11.2245,534,0.00534,809,0.00809,600000
-35.7143,13.2653,559,0.0055899999999999995,904,0.00904,600000
-35.7143,15.3061,521,0.005209999999999999,849,0.008490000000000001,600000
-35.7143,17.3469,555,0.00555,845,0.00845,600000
-35.7143,19.3878,585,0.00585,883,0.00883,600000
-35.7143,21.4286,541,0.00541,869,0.00869,600000
-35.7143,23.4694,527,0.0052699999999999995,907,0.00907,600000
-35.7143,25.5102,508,0.00508,904,0.00904,600000
-35.7143,27.551,495,0.00495,828,0.00828,600000
-35.7143,29.5918,469,0.00469,833,0.00833,600000
-35.7143,31.6327,497,0.00497,858,0.00858,600000
-35.7143,33.6735,479,0.00479,807,0.00807,600000
-35.7143,35.7143,608,0.00608,937,0.00937,600000
-35.7143,37.7551,569,0.00569,834,0.00834,600000
-35.7143,39.7959,536,0.00536,901,0.00901,600000
-35.7143,41.8367,606,0.00606,965,0.00965,600000
-35.7143,43.8776,526,0.00526,892,0.00892,600000
-35.7143,45.9184,569,0.005690000000000001,878,0.00878,600000
-35.7143,47.9592,565,0.00565,920,0.0092,600000
-35.7143,50.0,530,0.0053,900,0.009,600000
-33.6735,-50.0,578,0.00578,924,0.00924,600000
-33.6735,-47.9592,476,0.00476,777,0.00777,600000
-33.6735,-45.9184,557,0.005569999999999999,900,0.009000000000000001,600000
-33.6735,-43.8776,499,0.00499,831,0.00831,600000
-33.6735,-41.8367,513,0.00513,857,0.008570000000000001,600000
-33.6735,-39.7959,463,0.00463,854,0.00854,600000
-33.6735,-37.7551,510,0.0051,874,0.00874,600000
-33.6735,-35.7143,509,0.00509,855,0.00855,600000
-33.6735,-33.6735,514,0.0051400000000000005,887,0.00887,600000
-33.6735,-31.6327,445,0.00445,831,0.00831,600000
-33.6735,-29.5918,652,0.00652,914,0.00914,600000
-33.6735,-27.551,590,0.0059,853,0.00853,600000
-33.6735,-25.5102,504,0.00504,855,0.00855,600000
-33.6735,-23.4694,533,0.00533,885,0.00885,600000
-33.6735,-21.4286,559,0.0055899999999999995,861,0.00861,600000
-33.6735,-19.3878,537,0.00537,873,0.00873,600000
-33.6735,-17.3469,514,0.0051400000000000005,860,0.0086,600000
-33.6735,-15.3061,553,0.00553,905,0.00905,600000
-33.6735,-13.2653,497,0.0049700000000000005,840,0.0084,600000
-33.6735,-11.2245,510,0.0051,911,0.00911,600000
-33.6735,-9.18367,511,0.00511,872,0.00872,600000
-33.6735,-7.14286,587,0.00587,890,0.0089,600000
-33.6735,-5.10204,527,0.00527,831,0.00831,600000
-33.6735,-3.06122,551,0.00551,886,0.00886,600000
-33.6735,-1.02041,543,0.00543,923,0.00923,600000
-33.6735,1.02041,583,0.00583,971,0.00971,600000
-33.6735,3.06122,559,0.0055899999999999995,935,0.00935,600000
-33.6735,5.10204,533,0.0053300000000000005,842,0.00842,600000
-33.6735,7.14286,561,0.00561,901,0.00901,600000
-33.6735,9.18367,506,0.00506,879,0.00879,600000
-33.6735,11.2245,558,0.00558,862,0.00862,600000
-33.6735,13.2653,587,0.00587,872,0.00872,600000
-33.6735,15.3061,483,0.00483,806,0.00806,600000
-33.6735,17.3469,539,0.00539,933,0.00933,600000
-33.6735,19.3878,496,0.00496,804,0.00804,600000
-33.6735,21.4286,567,0.00567,951,0.00951,600000
-33.6735,23.4694,545,0.00545,899,0.00899,600000
-33.6735,25.5102,599,0.0059900000000000005,909,0.00909,600000
-33.6735,27.551,509,0.00509,791,0.00791,600000
-33.6735,29.5918,516,0.00516,890,0.0089,600000
-33.6735,31.6327,546,0.00546,864,0.00864,600000
-33.6735,33.6735,607,0.00607,956,0.009559999999999999,600000
-33.6735,35.7143,452,0.00452,788,0.00788,600000
-33.6735,37.7551,502,0.00502,851,0.00851,600000
-33.6735,39.7959,503,0.00503,846,0.00846,600000
-33.6735,41.8367,472,0.00472,836,0.00836,600000
-33.6735,43.8776,549,0.00549,841,0.00841,600000
-33.6735,45.9184,556,0.00556,920,0.0092,600000
-33.6735,47.9592,511,0.00511,872,0.00872,600000
-33.6735,50.0,503,0.00503,836,0.00836,600000
-31.6327,-50.0,537,0.00537,881,0.00881,600000
-31.6327,-47.9592,597,0.00597,863,0.00863,600000
-31.6327,-45.9184,575,0.00575,881,0.00881,600000
-31.6327,-43.8776,492,0.00492,851,0.00851,600000
-31.6327,-41.8367,516,0.00516,847,0.00847,600000
-31.6327,-39.7959,544,0.00544,912,0.00912,600000
-31.6327,-37.7551,574,0.00574,927,0.00927,600000
-31.6327,-35.7143,471,0.00471,839,0.00839,600000
-31.6327,-33.6735,549,0.00549,882,0.00882,600000
-31.6327,-31.6327,586,0.00586,910,0.0091,600000
-31.6327,-29.5918,537,0.00537,915,0.00915,600000
-31.6327,-27.551,584,0.00584,877,0.00877,600000
-31.6327,-25.5102,520,0.0052,870,0.0087,600000
-31.6327,-23.4694,512,0.0051199999999999996,871,0.00871,600000
-31.6327,-21.4286,561,0.00561,896,0.00896,600000
-31.6327,-19.3878,564,0.00564,872,0.00872,600000
-31.6327,-17.3469,569,0.00569,900,0.009,600000
-31.6327,-15.3061,583,0.00583,970,0.0097,600000
-31.6327,-13.2653,560,0.0056,910,0.0091,600000
-31.6327,-11.2245,510,0.0051,871,0.00871,600000
-31.6327,-9.18367,522,0.00522,874,0.00874,600000
-31.6327,-7.14286,472,0.00472,911,0.00911,600000
