x,y,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-24.8,-31,400000,45050,0.112625,152582,0.381455
-24.8,-30.8,400000,44858,0.112145,151940,0.37985
-24.8,-30.6,400000,44895,0.112238,152198,0.380495
-24.8,-30.4,400000,44730,0.111825,152516,0.38129
-24.8,-30.2,400000,45412,0.11353,152244,0.38061
-24.8,-30,400000,44826,0.112065,152327,0.380817
-24.8,-29.8,400000,44799,0.111997,152010,0.380025
-24.8,-29.6,400000,44745,0.111863,152190,0.380475
-24.8,-29.4,400000,44912,0.11228,151830,0.379575
-24.8,-29.2,400000,45033,0.112583,152011,0.380028
-24.8,-29,400000,44815,0.112037,151919,0.379798
-24.8,-28.8,400000,45016,0.11254,151448,0.37862
-24.8,-28.6,400000,44893,0.112232,151872,0.37968
-24.8,-28.4,400000,44673,0.111683,152416,0.38104
-24.8,-28.2,400000,44879,0.112198,152196,0.38049
-24.8,-28,400000,45013,0.112532,152578,0.381445
-24.8,-27.8,400000,44991,0.112477,152534,0.381335
-24.8,-27.6,400000,45203,0.113007,152802,0.382005
-24.8,-27.4,400000,44503,0.111257,152492,0.38123
-24.8,-27.2,400000,44741,0.111852,152019,0.380047
-24.8,-27,400000,44395,0.110988,151473,0.378682
-24.8,-26.8,400000,44712,0.11178,151744,0.37936
-24.8,-26.6,400000,44471,0.111177,151918,0.379795
-24.8,-26.4,400000,44680,0.1117,152169,0.380422
-24.8,-26.2,400000,44895,0.112238,151948,0.37987
-24.8,-26,400000,44725,0.111812,151939,0.379848
-24.8,-25.8,400000,44584,0.11146,152345,0.380862
-24.8,-25.6,400000,44511,0.111278,151974,0.379935
-24.8,-25.4,400000,44976,0.11244,152476,0.38119
-24.8,-25.2,400000,45054,0.112635,152612,0.38153
-24.8,-25,400000,44649,0.111622,152107,0.380267
-24.8,-24.8,400000,44629,0.111573,151745,0.379362
-24.8,-24.6,400000,44888,0.11222,152044,0.38011
-24.8,-24.4,400000,44584,0.11146,152359,0.380897
-24.8,-24.2,400000,44833,0.112083,152307,0.380767
-24.8,-24,400000,44970,0.112425,152261,0.380653
-24.8,-23.8,400000,44936,0.11234,152283,0.380707
-24.8,-23.6,400000,44588,0.11147,152089,0.380223
-24.8,-23.4,400000,44757,0.111893,152707,0.381767
-24.8,-23.2,400000,45245,0.113113,152426,0.381065
-24.8,-23,400000,44801,0.112003,152293,0.380732
-24.8,-22.8,400000,44941,0.112352,152078,0.380195
-24.8,-22.6,400000,44695,0.111738,151759,0.379397
-24.8,-22.4,400000,44567,0.111418,151850,0.379625
-24.8,-22.2,400000,44151,0.110378,152053,0.380132
-24.8,-22,400000,44385,0.110963,151923,0.379808
-24.8,-21.8,400000,44854,0.112135,152222,0.380555
-24.8,-21.6,400000,45075,0.112687,152895,0.382238
-24.8,-21.4,400000,44796,0.11199,152515,0.381288
